Probe	1H	4H	10H	20H	28H	36H	44H	48H	72H	1W	4W
5730419I09Rik	-0.186754236	-0.109213662	0.492200421	0.258236332	0.106972029	0.430361793	1.117510935	1.195847774	0.790147264	0.370315865	0.255064095
Gm10680	-0.115161475	0.285974985	0.796843431	0.385539849	0.97362771	0.718444099	0.668131622	0.63817197	0.525308557	-0.066389813	-0.152148931
Avpi1	-0.52326774	-0.915005854	-0.287673581	-0.070792805	-0.010444368	0.298283024	0.277019015	0.114797057	0.784593603	0.113513089	-0.373335156
Snord55	-0.067247944	-0.074431495	0.170687022	-0.248759511	-0.42010768	0.067177619	-0.42010768	-0.42010768	-0.220344019	-0.42010768	0.268399776
Vat1	-0.200753123	-0.653993615	0.15596619	0.73168917	0.34321515	0.467240142	0.420263454	0.535033463	0.598504791	0.296545962	0.000739168
Crp	-0.034226362	0.286243145	0.492245644	0.450282347	0.517551971	-0.026361997	0.615092946	0.417944893	0.012224627	-0.011287241	-0.431143235
Fubp1	-0.221475512	-0.013834211	1.075184297	0.265656936	0.339948453	0.402289001	0.52503278	0.537487422	0.743362595	0.157616733	0.151759455
Slc16a2	-0.198682438	-0.576733274	-1.334556127	-0.398323971	-0.497407862	-0.25071351	-0.492021408	-0.368446854	-0.502452272	0.088387342	0.13809594
Tmem214	0.112663207	0.246360778	1.105058316	0.801853419	0.654042226	0.722227325	0.936358744	1.024692804	0.743995238	0.42580916	0.43561608
Hlf	-0.086657449	-0.71717684	0.184766071	0.530754649	-0.262624118	0.378170123	-0.062664561	-0.268233667	-0.10879954	0.04316022	0.002854239
Josd2	-0.178972692	-0.503099057	0.164997599	0.215101175	0.212593493	-0.525610973	-0.212562475	-0.289602861	0.394873883	0.076920271	-0.020122356
Pgd	-0.378985152	-0.785765727	-0.675175	-0.357301383	-0.707712186	-0.291370186	-0.117431737	0.106102839	0.845948999	0.07155593	-0.122333337
Vwce	-0.064035881	-0.976569023	0.351089642	0.269387994	-0.309253646	0.249916706	-0.107411399	-0.161812796	-0.207117066	0.160600924	0.075380692
Igsf11	-0.188337448	0.587373473	0.644952433	0.915299504	0.579694123	0.673660692	0.832058393	0.945706047	0.740596921	0.548470519	0.095822181
SNORA4	0.546776959	0.665122565	1.067300099	0.656326675	0.387110481	0.520401454	0.685932368	0.857838837	0.646884162	0.384946707	0.375944958
Tenc1	0.437554041	0.752453921	1.092854741	0.229157825	1.117318171	0.696716756	0.054765123	0.2841641	0.229843163	0.388845847	0.586227354
Rrp12	0.175998341	1.316885257	1.083889892	0.776347036	0.643054007	0.969703768	0.710019455	0.596985273	0.693781101	0.100793589	0.190749911
Abcb10	-0.211562802	-1.325171352	-0.921312428	-0.31778383	-0.95212331	-0.44504506	-0.439048047	-0.509689784	-0.260787675	0.062917046	0.157608501
Ece1	-0.005914519	-0.762576703	-0.832682147	0.268478812	-0.206209166	0.206885299	0.109344143	0.152857271	0.326571506	0.282130165	0.209957568
Gm14822	-0.264718497	-0.274030044	0.106916933	0.130537845	0.193891548	0.73334835	0.561987718	0.503901497	0.2065014	-0.266720935	-0.123539385
Anpep	-0.06816521	-0.282167387	0.602039046	0.762530366	0.392576211	0.906429473	0.494121697	0.497599216	0.375094093	0.266541626	0.112698849
Exo1	-0.002806766	-0.006281385	0.008426307	0.069969366	0.156209072	1.26662765	0.937520942	0.803808799	0.386779898	0.088280463	0.045250592
H47	-0.201442894	-0.75085714	-0.003805295	0.141206724	0.199077027	-0.059731409	0.645179535	0.85691074	0.654941318	0.266571706	0.088419351
Acp5	-0.077865942	-0.722592576	-1.333333857	-0.809758573	-0.652942355	-0.447618959	-0.38996845	-0.266760175	-0.166932329	0.019167371	0.014478743
Kynu	-0.060376294	-0.839220634	-1.146665002	-0.2330121	0.092322491	-0.626056334	-0.667656813	-0.440039137	-0.242082664	0.095648278	-0.112276735
Rusc2	0.741595373	-0.13859776	0.212272554	-0.098712315	-0.055373604	-0.090450965	-0.086515033	-0.184807915	-0.462235833	-0.276806148	-0.415424268
Timm50	-0.217779308	-0.367811014	-0.316872637	-0.076697713	-0.002004909	0.561459157	0.95306053	0.793975121	0.647899503	-0.00371921	-0.177180287
Mustn1	0.095473854	0.866975741	0.654588382	0.841016806	0.706440708	0.135425647	0.898586181	0.551862847	0.668581522	-0.048907351	-0.438172463
Hrg	-0.084394233	-0.60594797	-0.439506292	-0.003020783	0.383245574	0.666279361	0.58112589	0.653585645	0.144713192	0.510665161	-0.059902633
Trim37	-0.149378735	-0.500607816	0.100875081	0.172084532	-0.354453647	0.569898784	1.18850572	0.770720657	0.332060251	0.134097628	0.150253291
Lysmd3	0.457543531	1.070149175	0.691941328	0.461576677	0.486415348	0.042236724	0.680870352	0.84148093	0.920576959	0.426042112	0.089065849
Tubd1	-0.043815687	-0.154894274	0.445708058	0.252640981	0.185654901	0.584735471	1.137717182	1.268292638	0.758399599	0.227859594	0.211183362
Apom	-0.010692791	-0.534671358	-0.498279232	-0.023255057	0.451393921	0.539025893	0.565938717	0.624651585	0.642364039	0.043281507	-0.27065885
Ikbke	-0.110873815	0.524271271	0.336580565	0.803477292	0.594978542	0.410907315	0.893160394	0.762598429	0.898214583	0.617361544	0.425707384
Rpl22l1	-0.703431587	-0.63030266	-2.02E-05	0.219658842	0.080316864	-0.044717447	-0.132288075	-0.011110249	0.083853126	-0.862839525	-0.708374116
Cux2	-0.003428404	-0.002017318	0.051145808	0.06166381	0.477341429	1.447934116	0.48123037	0.248293127	0.082045888	0.016517314	0.01025419
Tjp2	-0.347663303	-0.342522038	0.537017534	0.122247696	-0.027992731	0.268659904	0.793445524	0.635105579	0.534107195	0.469324708	0.448524982
Hmgcs2	0.139946391	0.302206071	0.501382983	0.492823175	0.502001157	0.273394506	-0.549014233	-0.452667446	-0.698615133	0.011564237	-0.104365525
2210021J22Rik	-0.514579754	-1.147954284	0.218092686	0.031843966	-0.313091181	-0.422245559	0.197774668	0.169175804	0.093666753	-0.132108768	-0.045033602
9430015G10Rik	-0.166304842	-0.410182661	-0.06749807	0.058855666	-0.206372106	0.850673808	0.932242354	0.83588333	0.346434208	0.006652726	0.026899621
Psat1	0.023970371	-0.043743443	0.302486879	0.363498631	0.161750635	1.063593234	0.8837077	0.871654487	0.698994255	0.065774074	-0.015766154
Neu1	-0.293025661	-1.229742751	-0.207660165	0.125707816	-0.083164528	0.342610718	0.297264967	0.479066422	0.24293951	0.186499407	-0.201073345
Usp1	0.244737888	0.234948783	0.532872663	0.361152622	0.425862213	1.003906918	1.374298094	1.205858536	0.997531338	0.336510494	0.009461895
Ssna1	-0.549624756	-0.779415983	-0.109283339	-0.104273824	-0.141535006	0.331574636	0.884470863	0.662262358	0.230329444	-0.138135937	-0.230103071
Lipt2	-0.215479031	-0.396840512	0.540871025	0.065284183	0.153452978	0.989695961	0.134253659	-0.05464901	0.394112823	0.036163988	0.1070604
Myo1b	0.193360009	-0.126796563	-1.058765823	-0.107041634	-0.384231116	-0.792281509	-0.250383672	0.050458543	0.206261664	-0.099851559	-0.142409018
Mctp2	-0.009638566	1.304010656	0.659349426	0.570781708	0.157289069	0.41165523	0.485825803	0.380382274	0.807441952	0.584980521	0.392122258
Gm11827	0.676293555	-0.034063658	-0.431875406	-0.368648693	-0.507572276	-0.477351375	-0.532177242	-0.452993181	-0.488605796	-0.585558866	-0.511265687
SNORD19B	0.400944345	0.517892912	0.450993696	0.148051605	0.230726636	0.748931168	-0.027477183	0.139263046	0.130262963	-0.218529249	-0.218529249
Vav2	-0.191956615	-0.564800428	0.404483574	0.467685051	0.278453171	0.810276234	0.715593082	0.637545517	0.469656565	0.452146556	0.147264794
Pdia3	-0.197039952	-0.595040468	0.327915237	0.793535492	0.212822956	-0.095146326	0.43559594	0.602079806	0.446804298	0.13517082	-0.006438959
Lrp1	0.151132126	0.313639513	0.479043746	1.014553271	0.780885787	0.795780639	1.060720792	0.896429984	1.031220471	0.775231155	0.372624032
Lin37	-0.599711644	-0.947315094	0.038533495	-0.182107408	-0.353844481	0.174067869	0.669887866	0.702247802	-0.064193331	-0.17457352	-0.338597841
